id,question,option_a,option_b,option_c,option_d,correct_option
OIC-364-02-B,What is the main difference between low-energy fractures in small children and those in adolescents?,Low-energy fractures occur at a higher energy level,Low-energy fractures are more common in adults,Low-energy fractures require more treatment,Low-energy fractures have the same risk of complications,option_a
OIC-364-06-A,What is the best initial management approach for a child with suspected fracture?,Improve circulation to reduce swelling,Apply ice to reduce pain,Prescribe antibiotics as a precautionary measure,Use a non-sterile needle to inject medication directly into the affected area,option_a
OIC-364-04-B,What is the typical location of fractures in children?,Lower limbs,Upper limbs,Spine,Head and neck,option_a
OIC-364-01-A,What is a typical fracture in children?,Greenstick fracture,Subperiosteal fracture,Buckle fracture,Apophyseal avulsion fracture,b
OIC-364-03-B,What is the primary function of the periosteum in children?,To provide a mechanical barrier against further injury,To facilitate bone growth by producing new bone tissue,To absorb shock and distribute pressure around the fracture site,To promote the formation of calluses to stabilize fractures,d
OIC-364-12-B,What is a common complication of ankle fractures that can lead to epiphysiodesis?,Delayed closure of the fracture site,Increased blood flow to the affected area,Growth plate fusion,Reduced muscle strength in the affected limb,c
OIC-364-07-A,What is the typical indication for an X-ray examination of a child's fracture?,To confirm the diagnosis,To compare with another image,To assess the epiphysis,To check for any other fractures in the same area,to confirm the diagnosis
OIC-364-09-A,What should be done immediately if a child shows signs of compartment syndrome after a supracondylar fracture?,Apply ice packs to reduce swelling,Use compression bandages to compress the affected limb,Open the cast and relieve pressure with manual decompression,Wait for the pain to subside before treating compartment syndrome,c
OIC-048-02-A,What is the main purpose of introducing diversification foods to infants and children?,To increase their tolerance to new food proteins,To introduce them to different flavors for taste development,To provide fiber to help their intestinal microbiota adapt to a non-milk diet,To encourage chewing habits in infants and children,a
OIC-048-04-A,"When introducing meat to infants' diets, what is the typical order?",Start with fruits,Add fats first,Mix from 4 months,Ground from 8 months,c
OIC-048-01-A,What is the recommended supplement for infants over 6 months old who are not breastfed?,Iron supplements,Vitamin D and K supplements,Standard milk formulas,Hypoallergenic milks (HA),option_a
OIC-048-03-A,What is the recommended preparation method for milk formulas in infants?,Add 1 measuring spoon of powder to 30 ml of low mineral content or tap water,Use a thermometer to heat the formula to 100 degrees Celsius,Mix the formula with an equal amount of vegetable oil,Prepare the formula in advance and store it in the refrigerator for up to 24 hours,option_a
OIC-284-01-A,What is a characteristic feature of IBS with predominant diarrhea (IBS-D)?,A lack of food in the stomach,An increase in gut motility,A sudden change in bowel habits,A decrease in abdominal pressure,a
OIC-284-02-A,What is the main diagnostic criterion for functional colorectal disease?,Abdominal pain >1 day/month,Defecation frequency change,Stool consistency change,Six months of symptoms before diagnosis,option_a
OIC-284-04-A,What is a common symptom associated with functional colorectal disease?,Abdominal bloating,Constipation,IBS,Fibromyalgia,b
OIC-284-03-B,What percentage of the general population worldwide is affected by functional colorectal disease?,1%,4% - 6%,10% - 15%,20% or more,b
OIC-284-08-A,What is the primary goal of therapeutic management for functional colorectal disease?,To identify and justify treatment,To improve symptoms to enhance quality of life,To prescribe medication without considering patient expectations,To eliminate malabsorbed carbohydrates from the diet,option_b
OIC-284-05-A,What should prompt a colonoscopy for functional colorectal disease?,Family history of colorectal cancer,Age < 50 years,Nocturnal symptoms,Weight loss in the absence of other symptoms,option_a
OIC-284-07-B,What is a common test used to rule out inflammatory bowel disease (IBS) in patients with irritable bowel syndrome (IBS)?,CBC,CRP,TSH,IgA-type anti-transglutaminase antibodies,b
OIC-284-06-B,What is the primary indication for colonoscopy?,Presence of clinical warning signs,Diarrhoeal symptoms,Biological abnormalities,Colon cancer screening,option_a
OIC-288-02-B,What percentage of the French adult population has hemorrhoidal symptoms?,1/3,2/3,5/6,0.33%,option_a
OIC-288-09-B,What other possible causes of iron deficiency anemia include?,Hemorrhoidal Pathology,Gastrointestinal Parasites,Inadequate Dietary Iron Intake,Prolonged Use of Birth Control Pills,option_b
OIC-288-04-A,What is the main difference between an internal hemorrhoidal plexus and an external hemorrhoidal plexus?,"Internal hemorrhoidal plexus forms swellings or pads, while external does not.","External hemorrhoidal plexus is only visible during endocanal examination, while internal one can be seen with anoscope.",Both are located in the upper part of the anal canal and play a role in fine continence.,"Internal hemorrhoidal plexus is intestinal in nature, while external one is squamous.",option_a
OIC-288-14-A,What is the main idea behind the therapeutic preamble?,Haemorrhoids should only be treated when they cause symptoms.,"Haemorrhoids can be treated with medication, regardless of their severity.",Surgical procedures are always necessary for haemorrhoid treatment.,Therapeutic procedures should be used to treat all types of hemorrhoids.,option_a
OIC-288-17-B,What is a characteristic feature of external haemorrhoidal thrombosis?,A raised scar known as a mariscus,Chronic bleeding due to partial mobilisation of the clot,Ulceration at the top of the thrombosis,Spontaneous evolution into a malignant condition,option_a
OIC-288-08-B,What is the most common cause of external hemorrhoidal thrombosis in adults?,Hemorrhoids,Varicose veins,Atherosclerosis,Inguinal hernia,option_a
OIC-288-01-A,What is the main difference between internal and external hemorrhoids?,"Internal hemorrhoids are located closer to the anus, while external hemorrhoids are farther away.",External hemorrhoids have a more prominent anal sphincter support system than internal hemorrhoids.,Internal hemorrhoids are typically smaller in diameter than external hemorrhoids.,Both internal and external hemorrhoids can be caused by constipation or straining during bowel movements.,option_a
OIC-288-05-A,What is a characteristic feature of hemorrhoidal thrombosis?,It typically presents as a localized swelling in the anal region.,It often causes severe pain during palpation.,It usually requires anoscopy for diagnosis.,Haemorrhoidal attacks are associated with sudden and intense bleeding.,option_a
OIC-288-03-B,What is a common risk factor for the onset of hemorrhoidal disease?,Straining during bowel movements,A sudden change in diet,Childbirth,A sudden increase in physical activity,a
OIC-288-07-B,What is the main diagnostic difficulty in internal hemorrhoids?,The presence of a foreign object,A sudden change in bowel habits,An overactive bladder,A sudden increase in blood pressure,a
OIC-288-13-A,What is the primary indication for surgical treatment of external haemorrhoidal thrombosis?,External haemorrhoidal thrombosis,Haemorrhoidectomy,Incision or excision,"Radiofrequency, laser",c
OIC-288-12-B,What is a common cause of hemorrhoidal pathology?,Hemorrhoids are caused by poor posture.,Hemorrhoids are caused by eating too much fiber.,Hemorrhoids are caused by excessive exercise.,Hemorrhoids are caused by a lack of vitamin C in the diet.,option_a
OIC-288-16-B,What is the primary indication for surgical treatment in hemorrhoids?,Hemorrhoidal Pathology,Hemorrhoidectomy without anal sphincter preservation,Hemorrhoidectomy with colostomy creation,Hemorrhoidal surgery without any anal sphincter involvement,option_a
OIC-288-06-A,What is a characteristic feature of hemorrhoidal crisis?,A sudden and severe burning sensation in the anus,A feeling of numbness in the anus,An increase in stool production,A sudden and intense urge to defecate,a
OIC-288-15-A,What is the primary treatment for external hemorrhoidal thrombosis?,Hemorrhoidectomy,Surgery to remove the affected area,A diet rich in fiber and low in protein,Taking a laxative daily,option_b
OIC-256-06-A,What is a common risk associated with regular physical activity in children?,Cardiovascular,Musculoskeletal,Mental health,Nutritional deficiencies,a
OIC-256-01-A,What is required for a sports patient to obtain a federal sports licence?,A medical certificate stating that you have no contraindications to practising sport,A letter from a doctor stating that you are fit to practice,A statement on the sports federation's website that you are eligible for the licence,No medical certificate is required,A
OIC-256-05-A,What is a common cardiovascular cause of contraindications to sporting activities?,Hypertrophic cardiomyopathy,Unstable coronary artery disease,Myocarditis,Atrial fibrillation,option_a
OIC-256-10-B,What is the recommended carbohydrate intake during endurance sports?,Eat carbohydrates away from exercise,Eat carbohydrates close to exercise,Increase carbohydrate intake before exercise,Reduce carbohydrate intake before exercise,b
OIC-256-03-B,What should be done before issuing a medical certificate for adults who want to practice sports?,Conduct an ECG,Carry out a pulmonary examination,Get a blood test,Consult with the French Society of Cardiology,a
OIC-256-09-B,What is a key aspect of ensuring proper nutrition for children in sports?,Ensure adequate protein intake,Limit carbohydrate consumption,Prioritize unsaturated fats,Maintain high levels of calcium and vitamin D,option_a
OIC-256-04-B,What is the main difference between assessing a child's contraindications to sport compared to an adult's?,Assessing the child's overall physical activity level,Assessing the child's nutritional requirements,Assessing the impact of living conditions on the child's sport participation,Assessing the quality of the child's sleep,option_a
OIC-256-08-B,What is the primary substrate for high-intensity physical activity in adult athletes?,Carbohydrates,Lipids,Protein,Water,a
OIC-256-07-B,What is the main pathology associated with repetitive stress in children's growth plates?,Osteochondrosis,Tendinopathy,Fracture,Overuse injury,a
OIC-256-02-B,What is the main reason for requiring a medical certificate to exempt children from participating in sports?,To ensure they don't get injured,To prevent them from getting too much exercise,To allow them to participate in sports that are not suitable for their physical condition,To make sure they meet the school's fitness standards,c
OIC-256-11-A,What is a common symptom suggestive of cardiovascular pathology during exercise?,Chest pain,Palpitations,Dyspnoea (breathlessness abnormal for the intensity of the exercise),Discomfort and/or loss of consciousness,option_a
OIC-325-01-A,What is an adverse drug reaction (ADR)?,A reaction to a medication that occurs when the patient has not been prescribed it,An unintended response to a medicinal product that occurs under conditions of use consistent with the terms of the authorization or registration of the medicinal product,Any unexpected change in the body's physiological state after taking a medicine,A reaction caused by a medication taken during pregnancy or breast-feeding,b
OIC-325-17-A,What is a common error in the administration of medicines that can lead to incorrect dosages or routes of administration?,Incorrect dosage,Administration by mouth,Administration through injection,Administration without proper identification and documentation.,option_d
OIC-325-18-B,What is a key characteristic of counterfeit medicines?,They are made with genuine ingredients.,They contain only inactive ingredients.,They have been tampered with in some way.,They are manufactured by the same company as the original product.,c
OIC-325-19-B,What is the most common risk associated with counterfeit medicines?,Ingestion of unknown products,Insufficient quantity of active ingredient,Excessive quantity of active ingredient,Heavy metals and toxic substances,d
OIC-325-20-B,What is the role of the National Office for Compensation for Medical Accidents (ONIAM) in referring cases to the Commission on Conciliation and Indemnisation of Medical Accidents (CCI)?,"The CCI has jurisdiction over all medical accidents, iatrogenic conditions, and nosocomial infections resulting in serious harm.",The CCI only has jurisdiction over medical accidents that result in permanent physical or mental injury (AIPP) of more than 24%.,The CCI only has jurisdiction over medical accidents that result in temporary cessation of professional activities (ATAP) for a period of at least six consecutive months or six non-consecutive months in any twelve-month period.,"ONIAM is responsible for referring cases to the CCI, but it does not have the power to make offers of compensation.","The CCI has jurisdiction over all medical accidents, iatrogenic conditions, and nosocomial infections resulting in serious harm."
OIC-325-12-A,"What is the correct procedure for reporting abuse, dependence, and misuse of substances or plants with a psychoactive effect?",To the Drug Dependence Assessment and Information Centre (CEIP) in the area where the case was reported,Directly to the CEIP concerned via the adverse health event reporting portal,By contacting the local hospital or medical authority,"Only to a doctor, dental surgeon, midwife, pharmacist",To the Drug Dependence Assessment and Information Centre (CEIP) in the area where the case was reported
OIC-325-02-A,What is one main issue concerning the risks associated with medicines?,Ensuring proper storage of medicines,"The need for a system for monitoring, detecting, and analyzing signals in real life",Implementing strict quality control measures on all medications,Developing new medicines to address existing health issues,option_a
OIC-325-16-A,What is a medicinal error?,A medication that causes harm to the patient,A mistake made by healthcare professionals during treatment,An adverse reaction to a medication,A natural occurrence of illness or disease,b
OIC-325-06-B,What percentage of medical and surgical admissions were due to a serious adverse event?,1.0%,3.4%,2.5%,6.8%,b
OIC-325-09-B,What is the main idea behind the imputability method?,The imputability method uses historical data to estimate causal link,The French imputability method only considers pharmacological properties of drugs,"Imputability is based on a combination of chronological, semiological and bibliographical criteria",The imputability method does not consider the existence of favourable factors,c
OIC-325-03-A,What is a characteristic that should be taken into account when prescribing a medication?,Age,Weight,Breast-feeding,Hepatocellular insufficiency,b
OIC-325-10-A,Who is responsible for reporting an adverse reaction suspected to be drug-related?,"Healthcare professionals (mandatory reporting of adverse drug reactions, particularly serious and/or unexpected reactions)",Companies or organizations exploiting medicinal products,Patients and approved patient associations,Government agencies only,A
OIC-325-08-A,What is the primary goal of pharmacovigilance?,To monitor adverse reactions,To improve the risk/benefit ratio of medicines,To detect and report all adverse events,To prevent adverse reactions from occurring in the first place,b
OIC-325-14-A,What should you report to the ANSM about an adverse reaction suspected to be due to biomaterials?,To the local materials vigilance correspondent,Directly to the ANSM using the portal for reporting adverse health events (https://signalement.social-sante.gouv.fr),To a doctor or pharmacist who has prescribed the medical device,To a colleague in the same department as the patient,To the local materials vigilance correspondent
OIC-325-13-B,What is the main objective of materiovigilance?,To monitor the safety of patients after they have received medical devices,To prevent the use of unsterile medical devices,To ensure compliance with regulatory requirements,To identify and report adverse events to manufacturers,option_a
OIC-325-15-A,What is a 'near miss' in relation to medicinal errors?,A medication error that has been identified and avoided,A potential error that could be prevented but not necessarily caused by the product itself,An adverse event resulting in harm to the patient,No harm or risk of harm,option_a
OIC-325-07-A,What is a characteristic of ADRs in elderly subjects?,Increased frequency due to age-related pharmacokinetic changes,Decreased severity due to co-morbidities,Varied symptomatology with atypical presentations,Mainly cardiovascular drugs involved,option_a
OIC-325-04-B,What does the 5B rule stand for in relation to medication circuit malfunctions?,Good Patient,Right Medication,Right Dosage,Right Route and Time,option_a
OIC-325-21-B,What is the primary purpose of referring a case to ONIAM?,"To seek compensation from the Office National d'Indemnisation des Accidents Médicaux, des Affections Iatrogènes et des Infections Nosocomiales (ONIAM)",To report the incident to the French Public Health Code,To file a lawsuit against the manufacturer of the medical device,To seek compensation from the victim's insurance company,option_a
OIC-325-11-A,What is the main objective of addictovigilance?,To monitor and prevent the misuse of psychoactive substances,To assess the potential for abuse and dependence linked to medicinal or non-medical substances,To identify individuals at risk of developing a substance use disorder,To detect and report cases of drug-related deaths,option_a
OIC-325-05-B,What is the main pathophysiological mechanism of drug-induced extrapyramidal syndrome?,Dopaminergic blockade,Muscarinic receptor antagonism,Alpha-adrenergic receptor stimulation,Beta-adrenergic receptor stimulation,a
OIC-094-02-B,What is the estimated prevalence of cervicalgia among the general population?,2.5%,3/4,1/6,0.75%,option_a
OIC-094-12-A,What is the main principle to manage a patient with chronic spinal pain?,Therapeutic Education,Maintaining Physical Activity,Kinesitherapy,Resuming Professional and Social Activities,b
OIC-094-04-B,What is the main mechanism of common spinal pain?,Disc origin,Intervertebral joint origin,Muscle strain,Poor posture and biomechanics,option_a
OIC-094-09-A,What is the main etiology of secondary spinal pain?,Tumour,Infectious,Osteoporotic Visceral,Traumatic,option_a
OIC-094-08-B,What is a common factor that can lead to chronic spinal pain?,Emotional problems,Inappropriate attitudes and representations in relation to back pain,Financial insecurity,Length of time off work,option_a
OIC-094-16-B,What is the most likely cause of coccygodynia?,Trauma,Obesity/pregnancy,Sacroiliac pain,Pudendal neuralgia,b
OIC-094-10-B,What is the other common cause of secondary spinal pain in adults?,Chondrocalcinosis,Rheumatoid arthritis,Neurological tumour,Referred ENT pain,option_b
OIC-094-07-A,What is the primary indication for a spinal MRI in secondary spinal pain?,Inflammatory disease,Neoplasia,Infection,Age of onset < 20 years or > 55 years,option_a
OIC-094-11-B,What is a common cause of complex spinal pain?,Social factors,Psychological factors,Rachidiennes,Deconditioning and sedentary lifestyle,option_d
OIC-094-03-A,What is the main difference between a patient with acute and chronic pain?,The duration of the condition,The presence or absence of red flags,The impact on daily activities,The effectiveness of previous treatments,option_a
OIC-094-06-A,What is the recommended imaging test for Rachialgia before the 7th week?,MRI of the lumbar spine,X-rays of the lumbar spine,"Red flags: CBC, CRP, VS",Remote dynamic films (profile in flexion and extension) + cervico-occipital hinge,option_a
OIC-094-01-A,"What is the main difference between cervicalgia, back pain, and low back pain?",Cervicalgia refers to pain in the neck region.,"Back pain affects the entire thoracic spine (T1-T12), while low back pain focuses on the lower gluteal fold (HAS).","All three types of pain are classified as acute, with no duration specified.",Cervicalgia is a common cause of chronic low back pain.,b
OIC-094-05-B,What is one common risk factor for low back pain and neck pain?,Repetitive strain injury,Obesity,Spinal static disorders,Smoking,option_a
OIC-094-13-B,What is the recommended treatment for chronic low back pain?,Muscle relaxants,NSAIDs,Kinesitherapy,Lumbar belt,b
OIC-094-14-A,What is the most common cause of referred low back pain from abdominal-pelvic origin?,Abdominal aortic aneurysm,"Lithiasis, hydronephrosis, tumour",Retroperitoneal adenopathy or fibrosis,Gynaecological pathology,option_a
OIC-094-15-B,What is a common sign that may indicate trauma to the pelvis?,A sudden onset of sacralgia in an elderly patient,A history of weakening osteopathy,Constipation,Pelvic anomaly,a
OIC-186-02-B,What is the main allergen responsible for phospholipase A2 in hymenoptera venoms?,Hyaluronidase,Enzyme 5,Phospholipase A1,Beekeeper's secret ingredient,c
OIC-186-11-A,What is the primary environmental factor contributing to the decline in microbial biodiversity?,Increased use of antibiotics,Decline in outdoor activities,Decrease in hygiene practices,Improved air quality,option_c
OIC-186-08-B,What is a characteristic feature of IgE-dependent food allergy to peanuts?,The allergy is typically associated with anaphylactic reactions.,Peanuts are often more frequently implicated in severe allergic reactions than nuts.,A skin test can be used as the gold standard for diagnosing peanut allergy.,An IgE-dependent food allergy to peanuts is not typically associated with an allergy to other legumes.,option_a
OIC-186-18-A,What is a major factor contributing to the development of respiratory allergy in adults?,Exposure to tobacco during pregnancy,Increased exposure to antibiotics,Genetic predisposition due to family history,Environmental factors such as pollution and air quality,option_d
OIC-186-01-B,What is the main difference between allergic and non-allergic hypersensitivities?,"Allergic hypersensitivities are caused by IgE antibodies, while non-allergic hypersensitivities are caused by IgG or IgM antibodies.","Non-allergic hypersensitivities involve direct stimulation of innate immunity, whereas allergic hypersensitivities involve adaptive immunity mechanisms.",Both types of hypersensitivities have a central sensitization phase in the lymph nodes before the peripheral revelation phase.,"Allergic and non-allergic hypersensitivities are both caused by IgE antibodies, but the type of antibody is different.",b
OIC-186-19-A,What is the recommended age for prescribing a 'fx5' test for children with suspected respiratory allergies?,Before 1 year,After 6 months,Before 1 month,At birth,option_b
OIC-186-04-B,What percentage of the general population is affected by drug hypersensitivity?,10%,7% ,20% ,5%,b
OIC-186-09-B,What is a common food allergen that can cause an oral syndrome in patients with pollen allergies?,Egg,Cypress,Peach,Birch,b
OIC-186-15-A,What is a common symptom of allergic conjunctivitis?,Redness,Itching,Tearing,Blurred vision,b
OIC-186-07-A,What is the primary milk allergy in infants?,Cow's milk,Milk before age of 6 months,Peanuts,Eggs,b
OIC-186-05-B,What is the primary mechanism of action for hymenoptera venoms in causing allergic reactions?,IgM,IgG,IgE,Neurotransmitters,c
OIC-186-10-B,What is the primary difference between a mild and severe allergic reaction to hymenoptera venom?,Mild allergy,Severe allergy,Hypersensitivity,Anaphylaxis,b
OIC-186-12-B,What is the primary indication for carrying out a multi-allergen IgE screening test?,Respiratory allergies,Food allergies,Atopic diseases,Pneumonias,a
OIC-186-06-A,What is the primary difference between per-annual and seasonal pneumallergens?,Per-annual pneumallergens are typically found in indoor environments.,Seasonal pneumallergens are typically found in outdoor environments.,Both types of pneumallergens can be found in both indoor and outdoor environments.,There is no difference between per-annual and seasonal pneumallergens.,option_a
OIC-186-17-A,What percentage of children born between 2011 and 5.5 years old have a food allergy?,4%,6%,10%,15%,b
OIC-186-16-A,What is the primary purpose of using mast cell degranulation inhibitors in treating allergic conjunctivitis?,To reduce inflammation and swelling,To increase the risk of anaphylaxis,To treat only mild cases of allergic conjunctivitis,To improve eye comfort by reducing itching and redness,d
OIC-186-13-B,What is the primary difference between a prick test and a patch test in allergology?,"Prick tests are performed on the front of the body, while patch tests are performed on the back.","Patch tests involve injecting the allergen into the skin, while prick tests only apply a small amount to the surface.",Both prick and patch tests can cause anaphylaxis in rare cases.,"Prick tests are more commonly used for type I hypersensitivity reactions, while patch tests are more commonly used for type IV hypersensitivity reactions.",b
OIC-186-14-A,What is the primary purpose of a 'projet d'accueil individualisé' (PAI) for a child with food allergy?,To provide information on safe eating habits,To allow parents to share medical history with school staff,To create a personalized emergency kit for the child,To establish a relationship between doctor and patient,option_a
OIC-186-03-B,What is the main allergen responsible for food allergies in adults?,Eggs,"Lambelliferae (celery, fennel, carrots)","Pulses (soya, lupins, lentils)",Buckwheat,option_a
OIC-302-03-B,What is the main factor that increases the risk of developing melanoma?,Genetics,UV exposure,Family history,Immunosuppression,b
OIC-302-07-A,What is a primary prevention strategy for squamous cell carcinoma?,Wear sunscreen with SPF 30 or higher,Use tanning beds to prevent skin cancer,Eat an apple a day to prevent skin cancer,Drink eight glasses of water daily to prevent skin cancer,option_a
OIC-302-04-A,What is the typical margin size for intraepidermal melanomas with a Breslow index of less than or equal to 1 mm?,0.5 cm,2 cm,3 cm,4 cm,b
OIC-302-09-B,What is the main differential diagnosis of a melanocytic nevus?,Seborrheic keratosis,Histiocytofibroma,Basal cell carcinoma,Actinic lentigo,option_c
OIC-302-02-A,What is the typical age range for warts to appear?,10-14,20-25,5-9,15-18,a
OIC-302-11-A,What is the correct order for the ABCDE rule in melanoma diagnosis?,A. Asymmetry,B. Borders irregular,C. Color inhomogeneous,D. Diameter ≥ 6 mm,D
OIC-302-08-A,What is a characteristic feature of congenital nevi?,They are typically smaller than common moles,They can be giant and cover large areas of the body,They have an irregular surface with hypertrichosis over time,They are usually tuberous and predominantly located on the face or trunk,option_a
OIC-302-01-A,What are the main families of skin tumors?,Basal cell carcinomas,Squamous cell carcinomas,HPV-induced tumors,Melanoma,b
OIC-302-12-B,What is the main histological type of melanoma that accounts for 60-70% of cases?,Superficial Spreading Melanoma,Nodular Melanoma,Lentiginous Acral Melanoma,Dubreuilh Melanoma,option_a
OIC-302-13-A,"What should be done to reduce the risk of developing cutaneous, epithelial, and melanoma tumors?",Wear sunscreen daily,Eat more fruits and vegetables,Drink a glass of milk every day,Take a vitamin D supplement,option_a
OIC-302-10-B,What is a characteristic feature of common nevi?,They are typically found on the face,They are usually present at birth,They have a high risk of transforming into melanoma,They can be affected by repeated microtrauma,b
OIC-302-05-A,What is a characteristic feature of Squamous Cell Carcinoma (EC) that distinguishes it from Basal Cell Carcinoma (BCC)?,A yellowish-white plaque with a well-limited border.,"A red, keratotic patch that bleeds after removal.","A fixed lesion in a photo-exposed area, erythematous or pinkish, possibly pigmented, and squamous-crusted.",A translucent papule with telangiectasias.,c
OIC-302-06-B,What is a common risk factor for poor prognosis in squamous cell carcinomas?,Size of the lesion,"Location on the temple, ear, or lip",Low level of histological differentiation,Perinuclear invasion,b
OIC-198-15-A,What is the primary biological test used to diagnose gout?,Uricemia,Serum creatinine with eGFR,Blood count,Kidney stone formation,option_b
OIC-198-10-A,What is a characteristic feature of a microcrystalline crisis in gout?,A sudden increase in uric acid levels,A decrease in uric acid levels,The presence of visible and/or clinically palpable tophus,A rapid sensitivity to colchicine,c
OIC-198-19-A,What is the recommended initial dose of uricemia in a patient with microcrystalline arthropathies?,50 mg/l,60 mg/l,70 mg/l,80 mg/l,b
OIC-198-23-B,What is the primary goal of treatment for acute hydroxyapatite crystal attack?,To reduce inflammation and swelling,To increase blood flow to the affected area,To suppress the immune system,To promote bone growth,to reduce inflammation and swelling
OIC-198-12-B,What is a common manifestation of gout that affects multiple joints?,Osteoporosis,Atherosclerosis,Gouty arthritis,Osteoarthritis,c
OIC-198-01-A,What is the main microcrystal responsible for gout?,Sodium urate,Calcium pyrophosphate,Apatite,Uric acid,a
OIC-198-22-A,What should be done with older patients who have acute calcium pyrophosphate crystal attacks?,Increase dosage of NSAIDs and colchicine,Use cortisone injections without checking for infection,Monitor closely for signs of infection before administering cortisone,Administer only intra-articular cortisone injections in cases of monoarthritis,c
OIC-198-07-B,What percentage of adults in France have gout?,1.4%,2.5%,0.9%,3.8%,c
OIC-198-09-B,What is the most common comorbidity associated with gout attacks?,Diabetes,Cardiovascular disease,Metabolic syndrome,Chronic renal failure,option_a
OIC-198-18-A,What is the primary goal of treating a gout attack?,To reduce inflammation,To treat co-morbidities,To manage pain,To prevent recurrence,to reduce inflammation
OIC-198-16-B,What is the main reason for treating gout?,To prevent cardiovascular disease,Due to its association with cardiovascular mortality,Because it can cause kidney stones,As a result of excessive uric acid levels,d
OIC-198-20-B,What is a common outcome of untreated gout?,Increased frequency of attacks,Reduced quality of life due to chronic pain,Improved mobility and reduced risk of injury,Uncontrolled hypertension,option_a
OIC-198-21-B,What is the main difference between Haemochromatosis and Primary Hyperparathyroidism?,Both conditions are caused by iron overload.,"Haemochromatosis affects only the liver, while Primary Hyperparathyroidism affects the kidneys.","Haemochromatosis is a genetic disorder, while Primary Hyperparathyroidism is an autoimmune condition.",Both conditions are caused by excessive calcium levels in the blood.,b
OIC-198-13-B,What is the typical cellularity in synovial fluid for Microcrystalline Arthropathies?,"less than 2,000 nucleated cells/mm³","greater than 10,000 nucleated cells/mm³",neither of the above,"increased to 50,000/mm³",b
OIC-198-02-A,What is the solubility threshold for urates?,less than 100 µmol/l,greater than 500 mg/l,360 µmol/l or 60 mg/l,below 20 mg/l,c
OIC-198-11-A,What is the main difference between septic arthritis and microcrystalline arthropathy?,"Septic arthritis occurs due to bacterial infection, while microcrystalline arthropathy is caused by crystal deposition.",Both conditions are characterized by elevated CRP and increased VS.,"Microcrystalline arthropathy typically presents with acute inflammatory syndrome, whereas septic arthritis has a more complex clinical picture.",Septic arthritis can be ruled out if the patient's symptoms do not include fever and chills.,c
OIC-198-03-B,What is the primary mechanism of hyperuricaemia?,A renal and/or intestinal elimination defect,Excess production of uric acid,Chronic inflammation in the joints,Thyroid disorders,A
OIC-198-08-A,What is characteristic of Microcrystalline Arthropathies?,The pain typically starts in the morning and resolves at night,"It usually affects only one joint, specifically the knee",The condition often causes swelling and stiffness in the affected area,Microcrystalline Arthropathies is a rare disease that can cause severe pain and inflammation in the foot and base of the big toe.,d
OIC-198-17-B,What is the primary difference between Gout and Apatitic Calcification?,Gout typically affects men over 40,Apatitic Calcification often occurs in younger women,"Both conditions affect joints, but Gout primarily affects the feet",Pyrophosphate Rheumatism is more common in elderly subjects,option_a
OIC-142-02-B,What is the primary difference between perinatal bereavement and postnatal grief?,Perinatal bereavement typically occurs immediately after birth,Postnatal grief can be triggered by any event in a person's life,Both are characterized by feelings of guilt and ambivalence,Perinatal bereavement is always traumatic,option_a
OIC-142-01-B,What is the primary goal of pediatric palliative care for newborns with very limited life expectancy?,Provide intensive management to support the child's quality of life,Limit treatment by collegial procedure in accordance with the Clayes-Leonetti law,Offer sucrose (sugar solution) and morphine as analgesic treatments,Respect and propose rituals and memorial traces,option_a
OIC-136-02-A,What is a common misconception about mortality attributed to local anaesthesia?,Local anaesthesia can cause fatal allergic reactions,The risk of death from local anaesthesia increases with the number of injections,Anaesthetic deaths are more likely to occur in patients who have undergone previous surgeries,Mortality attributed to local anaesthesia is directly proportional to the dose administered,option_a
OIC-136-08-B,What is the main mechanism of action of local anaesthetics?,Blocking potassium channels,Increasing dopamine release,Blocking voltage-dependent sodium channels,Activating GABA receptors,c
OIC-136-07-A,What is the main difference between local and locoregional anesthesia?,The primary goal of both types of anesthesia is to block pain at the site of injection.,"Local anesthesia involves injecting a single dose into the entire body, while locoregional anesthesia targets specific areas.",Locoregional anesthesia requires more complex surgical procedures and equipment than local anesthesia.,The main complication of both types of anesthesia is respiratory depression.,option_b
OIC-136-03-A,What is the purpose of a pre-anaesthetic consultation?,To ensure that the patient's medical history is up-to-date,To inform the patient about the potential risks of anaesthesia,To provide information on the anaesthetic process for locoregional anaesthesia only,To allow the anaesthetist to discuss their personal preferences with the patient,To ensure that the patient's medical history is up-to-date
OIC-136-01-B,What is the main goal for more than 50% of anaesthetic procedures in France?,To reduce hospital stay time,To increase patient satisfaction,To decrease surgical complications,To improve patient outcomes,to reduce hospital stay time
OIC-136-04-A,What is the primary purpose of the Higham score in assessing menorrhagia severity?,To predict the likelihood of post-operative bleeding,To determine the optimal dosage of anticoagulants for perioperative patients,To identify the most effective treatment for acute adrenal insufficiency,To evaluate the risk of lactic acidosis in diabetic patients,option_a
OIC-136-11-A,What is the main principle behind peri-medullary anaesthesia for obstetric analgesia/anaesthesia?,Prevention of pain associated with care,Assessment and management of acute pain,Use of local anesthetics to block nerve endings,Administration of opioids to enhance analgesia,option_a
OIC-136-06-A,What is the primary purpose of explaining preoperative information to patients undergoing general anesthesia?,To reduce anxiety,To increase blood pressure,To provide detailed medical history,To discuss potential side effects of local anesthetics,To reduce anxiety
